Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00     12.52     0.00                             GetEnergies (physical.c:108 @ 2228)
  0.00     12.52     0.00                             GetEnergies (physical.c:110 @ 222c)
  0.00     12.52     0.00                             GetEnergies (physical.c:108 @ 2238)
  0.00     12.52     0.00                             GetEnergies (physical.c:110 @ 223c)
  0.00     12.52     0.00                             GetEnergies (physical.c:103 @ 2248)
  0.00     12.52     0.00                             GetForces (forces.c:23 @ 28f0)
  0.00     12.52     0.00                             GetForces (forces.c:26 @ 28f8)
  0.00     12.52     0.00                             GetForces (forces.c:23 @ 2904)
  0.00     12.52     0.00                             GetForces (forces.c:24 @ 2910)
  0.00     12.52     0.00                             GetForces (forces.c:25 @ 2918)
  0.00     12.52     0.00                             GetForces (forces.c:28 @ 291c)
  0.00     12.52     0.00                             GetForces (forces.c:30 @ 2948)
  0.00     12.52     0.00                             GetForces (forces.c:28 @ 294c)
  0.00     12.52     0.00                             GetForces (forces.c:32 @ 2950)
  0.00     12.52     0.00                             GetForces (forces.c:28 @ 2954)
  0.00     12.52     0.00                             GetForces (forces.c:36 @ 2964)
  0.00     12.52     0.00                             GetForces (forces.c:38 @ 297c)
  0.00     12.52     0.00                             GetForces (forces.c:36 @ 2980)
  0.00     12.52     0.00                             GetForces (forces.c:40 @ 2988)
  0.00     12.52     0.00                             GetForces (forces.c:44 @ 29a0)
  0.00     12.52     0.00                             GetForces (forces.c:50 @ 29bc)
  0.00     12.52     0.00                             GetForces (forces.c:63 @ 29d4)
  0.00     12.52     0.00                             GetForces (forces.c:70 @ 29e8)
  0.00     12.52     0.00                             GetForces (forces.c:51 @ 2a14)
  0.00     12.52     0.00                             GetForces (forces.c:65 @ 2a60)
  0.00     12.52     0.00                             GetForces (forces.c:66 @ 2aa0)
  0.00     12.52     0.00                             GetForces (forces.c:79 @ 2ae4)
  0.00     12.52     0.00                             GetForces (forces.c:85 @ 2ae8)
  0.00     12.52     0.00                             GetForces (forces.c:44 @ 2af0)
  0.00     12.52     0.00                             GetForces (forces.c:83 @ 2b08)
  0.00     12.52     0.00                             GetForces (forces.c:80 @ 2b0c)
  0.00     12.52     0.00                             GetForces (forces.c:90 @ 2b10)
  0.00     12.52     0.00                             GetForces (forces.c:83 @ 2b18)
  0.00     12.52     0.00                             GetForces (forces.c:90 @ 2b1c)
  0.00     12.52     0.00                             GetForces (forces.c:83 @ 2b24)
  0.00     12.52     0.00                             GetForces (forces.c:90 @ 2b2c)
  0.00     12.52     0.00                             GetForces (forces.c:107 @ 2b38)
  0.00     12.52     0.00                             GetForces (forces.c:90 @ 2b3c)
  0.00     12.52     0.00                             GetForces (forces.c:90 @ 2b48)
  0.00     12.52     0.00                             GetForces (forces.c:96 @ 2b50)
  0.00     12.52     0.00                             GetForces (forces.c:93 @ 2b6c)
  0.00     12.52     0.00                             GetForces (forces.c:96 @ 2b98)
  0.00     12.52     0.00                             GetForces (forces.c:98 @ 2bc4)
  0.00     12.52     0.00                             GetForces (forces.c:38 @ 2c1c)
  0.00     12.52     0.00                             GetForces (forces.c:113 @ 2c28)
  0.00     12.52     0.00                             GetForces (forces.c:116 @ 2c48)
  0.00     12.52     0.00                             GetForces (forces.c:64 @ 2c6c)
  0.00     12.52     0.00                             GetForces (forces.c:36 @ 2c90)
  0.00     12.52     0.00                             GetForces (forces.c:116 @ 2c94)
  0.00     12.52     0.00                             GetTemperature (physical.c:76 @ 2090)
  0.00     12.52     0.00                             GetTemperature (physical.c:75 @ 20a4)
  0.00     12.52     0.00                             GetTemperature (physical.c:78 @ 20b0)
  0.00     12.52     0.00                             GetTemperature (physical.c:76 @ 20b4)
  0.00     12.52     0.00                             GetTemperature (physical.c:76 @ 20c8)
  0.00     12.52     0.00                             GetTemperature (physical.c:82 @ 20d0)
  0.00     12.52     0.00                             GetTemperature (physical.c:84 @ 20d8)
  0.00     12.52     0.00                             GetTemperature (physical.c:82 @ 20e0)
  0.00     12.52     0.00                             GetTemperature (physical.c:86 @ 20ec)
  0.00     12.52     0.00                             GetTemperature (physical.c:82 @ 20f0)
  0.00     12.52     0.00                             GetTemperature (physical.c:84 @ 20f8)
  0.00     12.52     0.00                             GetTemperature (physical.c:82 @ 2100)
  0.00     12.52     0.00                             GetTemperature (physical.c:84 @ 2104)
  0.00     12.52     0.00                             GetTemperature (physical.c:86 @ 2108)
  0.00     12.52     0.00                             GetTemperature (physical.c:82 @ 210c)
  0.00     12.52     0.00                             GetTemperature (physical.c:84 @ 2110)
  0.00     12.52     0.00                             GetTemperature (physical.c:82 @ 2114)
  0.00     12.52     0.00                             GetTemperature (physical.c:84 @ 211c)
  0.00     12.52     0.00                             GetTemperature (physical.c:86 @ 2124)
  0.00     12.52     0.00                             GetTemperature (physical.c:75 @ 2130)
  0.00     12.52     0.00                             ReadAtoms (inout.c:157 @ 1a44)
  0.00     12.52     0.00                             ReadAtoms (inout.c:152 @ 1a50)
  0.00     12.52     0.00                             ReadAtoms (inout.c:157 @ 1a54)
  0.00     12.52     0.00                             ReadAtoms (inout.c:152 @ 1a58)
  0.00     12.52     0.00                             ReadAtoms (inout.c:157 @ 1a64)
  0.00     12.52     0.00                             ReadAtoms (inout.c:159 @ 1a6c)
  0.00     12.52     0.00                             ReadAtoms (inout.c:161 @ 1a84)
  0.00     12.52     0.00                             ReadAtoms (inout.c:163 @ 1a98)
  0.00     12.52     0.00                             ReadAtoms (inout.c:168 @ 1ae4)
  0.00     12.52     0.00                             ReadAtoms (inout.c:171 @ 1b04)
  0.00     12.52     0.00                             ReadAtoms (inout.c:168 @ 1b0c)
  0.00     12.52     0.00                             ReadAtoms (inout.c:171 @ 1b34)
  0.00     12.52     0.00                             ReadAtoms (inout.c:174 @ 1b50)
  0.00     12.52     0.00                             ReadAtoms (inout.c:177 @ 1b8c)
  0.00     12.52     0.00                             ReadAtoms (inout.c:178 @ 1b98)
  0.00     12.52     0.00                             ReadAtoms (inout.c:163 @ 1ba0)
  0.00     12.52     0.00                             ReadAtoms (inout.c:184 @ 1bbc)
  0.00     12.52     0.00                             ReadAtoms (inout.c:159 @ 1bec)
  0.00     12.52     0.00                             ReadAtoms (inout.c:184 @ 1c08)
  0.00     12.52     0.00                             ReadParams (inout.c:36 @ 13dc)
  0.00     12.52     0.00                             ReadParams (inout.c:30 @ 13e8)
  0.00     12.52     0.00                             ReadParams (inout.c:36 @ 13ec)
  0.00     12.52     0.00                             ReadParams (inout.c:30 @ 13f0)
  0.00     12.52     0.00                             ReadParams (inout.c:36 @ 13fc)
  0.00     12.52     0.00                             ReadParams (inout.c:38 @ 1404)
  0.00     12.52     0.00                             ReadParams (inout.c:41 @ 1408)
  0.00     12.52     0.00                             ReadParams (inout.c:44 @ 1414)
  0.00     12.52     0.00                             ReadParams (inout.c:41 @ 1418)
  0.00     12.52     0.00                             ReadParams (inout.c:45 @ 141c)
  0.00     12.52     0.00                             ReadParams (inout.c:46 @ 1420)
  0.00     12.52     0.00                             ReadParams (inout.c:65 @ 1424)
  0.00     12.52     0.00                             ReadParams (inout.c:41 @ 1430)
  0.00     12.52     0.00                             ReadParams (inout.c:46 @ 1434)
  0.00     12.52     0.00                             ReadParams (inout.c:42 @ 1438)
  0.00     12.52     0.00                             ReadParams (inout.c:64 @ 143c)
  0.00     12.52     0.00                             ReadParams (inout.c:46 @ 1440)
  0.00     12.52     0.00                             ReadParams (inout.c:49 @ 1444)
  0.00     12.52     0.00                             ReadParams (inout.c:42 @ 1448)
  0.00     12.52     0.00                             ReadParams (inout.c:49 @ 144c)
  0.00     12.52     0.00                             ReadParams (inout.c:51 @ 1460)
  0.00     12.52     0.00                             ReadParams (inout.c:44 @ 1468)
  0.00     12.52     0.00                             ReadParams (inout.c:45 @ 1470)
  0.00     12.52     0.00                             ReadParams (inout.c:53 @ 1478)
  0.00     12.52     0.00                             ReadParams (inout.c:46 @ 147c)
  0.00     12.52     0.00                             ReadParams (inout.c:53 @ 1480)
  0.00     12.52     0.00                             ReadParams (inout.c:46 @ 1484)
  0.00     12.52     0.00                             ReadParams (inout.c:49 @ 1490)
  0.00     12.52     0.00                             ReadParams (inout.c:51 @ 14a8)
  0.00     12.52     0.00                             ReadParams (inout.c:50 @ 14ac)
  0.00     12.52     0.00                             ReadParams (inout.c:51 @ 14b4)
  0.00     12.52     0.00                             ReadParams (inout.c:53 @ 14c8)
  0.00     12.52     0.00                             ReadParams (inout.c:65 @ 14d0)
  0.00     12.52     0.00                             ReadParams (inout.c:62 @ 14e4)
  0.00     12.52     0.00                             ReadParams (inout.c:65 @ 14e8)
  0.00     12.52     0.00                             ReadParams (inout.c:64 @ 14fc)
  0.00     12.52     0.00                             ReadParams (inout.c:65 @ 1500)
  0.00     12.52     0.00                             ReadParams (inout.c:68 @ 1504)
  0.00     12.52     0.00                             ReadParams (inout.c:70 @ 1510)
  0.00     12.52     0.00                             ReadParams (inout.c:77 @ 1518)
  0.00     12.52     0.00                             ReadParams (inout.c:78 @ 154c)
  0.00     12.52     0.00                             ReadParams (inout.c:79 @ 156c)
  0.00     12.52     0.00                             ReadParams (inout.c:81 @ 158c)
  0.00     12.52     0.00                             ReadParams (inout.c:120 @ 15b0)
  0.00     12.52     0.00                             ReadParams (inout.c:132 @ 1634)
  0.00     12.52     0.00                             ReadParams (inout.c:137 @ 1640)
  0.00     12.52     0.00                             ReadParams (inout.c:144 @ 1650)
  0.00     12.52     0.00                             ReadParams (inout.c:83 @ 168c)
  0.00     12.52     0.00                             ReadParams (inout.c:142 @ 16c8)
  0.00     12.52     0.00                             ReadParams (inout.c:137 @ 16e0)
  0.00     12.52     0.00                             ReadParams (inout.c:84 @ 16f4)
  0.00     12.52     0.00                             ReadParams (inout.c:85 @ 1708)
  0.00     12.52     0.00                             ReadParams (inout.c:73 @ 174c)
  0.00     12.52     0.00                             ReadParams (inout.c:84 @ 1754)
  0.00     12.52     0.00                             ReadParams (inout.c:87 @ 1764)
  0.00     12.52     0.00                             ReadParams (inout.c:88 @ 1778)
  0.00     12.52     0.00                             ReadParams (inout.c:87 @ 1798)
  0.00     12.52     0.00                             ReadParams (inout.c:89 @ 17a4)
  0.00     12.52     0.00                             ReadParams (inout.c:91 @ 17c4)
  0.00     12.52     0.00                             ReadParams (inout.c:92 @ 17f4)
  0.00     12.52     0.00                             ReadParams (inout.c:93 @ 1824)
  0.00     12.52     0.00                             ReadParams (inout.c:95 @ 1854)
  0.00     12.52     0.00                             ReadParams (inout.c:144 @ 1884)
  0.00     12.52     0.00                             ReadParams (inout.c:38 @ 1888)
  0.00     12.52     0.00                             ReadParams (inout.c:97 @ 189c)
  0.00     12.52     0.00                             ReadParams (inout.c:98 @ 18c0)
  0.00     12.52     0.00                             ReadParams (inout.c:100 @ 18e4)
  0.00     12.52     0.00                             ReadParams (inout.c:102 @ 1914)
  0.00     12.52     0.00                             ReadParams (inout.c:103 @ 1938)
  0.00     12.52     0.00                             ReadParams (inout.c:105 @ 195c)
  0.00     12.52     0.00                             ReadParams (inout.c:106 @ 1980)
  0.00     12.52     0.00                             ReadParams (inout.c:107 @ 19a4)
  0.00     12.52     0.00                             ReadParams (inout.c:109 @ 19c8)
  0.00     12.52     0.00                             ReadParams (inout.c:113 @ 1a0c)
  0.00     12.52     0.00                             SetTemperature (physical.c:29 @ 1ed8)
  0.00     12.52     0.00                             SetTemperature (physical.c:32 @ 1f20)
  0.00     12.52     0.00                             SetTemperature (physical.c:31 @ 1f28)
  0.00     12.52     0.00                             SetTemperature (physical.c:32 @ 1f34)
  0.00     12.52     0.00                             SetTemperature (physical.c:31 @ 1f4c)
  0.00     12.52     0.00                             SetTemperature (physical.c:34 @ 1f5c)
  0.00     12.52     0.00                             SetTemperature (physical.c:34 @ 1f64)
  0.00     12.52     0.00                             SetTemperature (physical.c:35 @ 1f6c)
  0.00     12.52     0.00                             SetTemperature (physical.c:35 @ 1f74)
  0.00     12.52     0.00                             SetTemperature (physical.c:39 @ 1f84)
  0.00     12.52     0.00                             SetTemperature (physical.c:36 @ 1f88)
  0.00     12.52     0.00                             SetTemperature (physical.c:32 @ 1f8c)
  0.00     12.52     0.00                             SetTemperature (physical.c:39 @ 1f90)
  0.00     12.52     0.00                             SetTemperature (physical.c:40 @ 1f94)
  0.00     12.52     0.00                             SetTemperature (physical.c:36 @ 1f98)
  0.00     12.52     0.00                             SetTemperature (physical.c:38 @ 1f9c)
  0.00     12.52     0.00                             SetTemperature (physical.c:32 @ 1fa4)
  0.00     12.52     0.00                             SetTemperature (physical.c:34 @ 1fb8)
  0.00     12.52     0.00                             SetTemperature (physical.c:34 @ 1fc0)
  0.00     12.52     0.00                             SetTemperature (physical.c:35 @ 1fd0)
  0.00     12.52     0.00                             SetTemperature (physical.c:35 @ 1fd8)
  0.00     12.52     0.00                             SetTemperature (physical.c:44 @ 1fec)
  0.00     12.52     0.00                             SetTemperature (physical.c:45 @ 2000)
  0.00     12.52     0.00                             SetTemperature (physical.c:46 @ 2008)
  0.00     12.52     0.00                             SetTemperature (physical.c:49 @ 200c)
  0.00     12.52     0.00                             SetTemperature (physical.c:51 @ 2010)
  0.00     12.52     0.00                             SetTemperature (physical.c:52 @ 2014)
  0.00     12.52     0.00                             SetTemperature (physical.c:50 @ 2018)
  0.00     12.52     0.00                             SetTemperature (physical.c:51 @ 201c)
  0.00     12.52     0.00                             SetTemperature (physical.c:52 @ 2020)
  0.00     12.52     0.00                             SetTemperature (physical.c:51 @ 2024)
  0.00     12.52     0.00                             SetTemperature (physical.c:49 @ 2028)
  0.00     12.52     0.00                             SetTemperature (physical.c:52 @ 202c)
  0.00     12.52     0.00                             SetTemperature (physical.c:49 @ 2030)
  0.00     12.52     0.00                             SetTemperature (physical.c:55 @ 2044)
  0.00     12.52     0.00                             Solve1 (solve.c:19 @ 25b4)
  0.00     12.52     0.00                             Solve1 (solve.c:21 @ 25c8)
  0.00     12.52     0.00                             Solve1 (solve.c:22 @ 25cc)
  0.00     12.52     0.00                             Solve1 (solve.c:19 @ 25d0)
  0.00     12.52     0.00                             Solve1 (solve.c:23 @ 25d8)
  0.00     12.52     0.00                             Solve1 (solve.c:25 @ 25dc)
  0.00     12.52     0.00                             Solve1 (solve.c:39 @ 25f0)
  0.00     12.52     0.00                             Solve1 (solve.c:42 @ 25f4)
  0.00     12.52     0.00                             Solve1 (solve.c:45 @ 25f8)
  0.00     12.52     0.00                             Solve1 (solve.c:42 @ 2610)
  0.00     12.52     0.00                             Solve1 (solve.c:45 @ 2618)
  0.00     12.52     0.00                             Solve1 (solve.c:25 @ 2620)
  0.00     12.52     0.00                             Solve1 (solve.c:30 @ 2634)
  0.00     12.52     0.00                             Solve1 (solve.c:29 @ 2638)
  0.00     12.52     0.00                             Solve1 (solve.c:31 @ 2644)
  0.00     12.52     0.00                             Solve1 (solve.c:29 @ 2648)
  0.00     12.52     0.00                             Solve1 (solve.c:34 @ 2678)
  0.00     12.52     0.00                             Solve1 (solve.c:33 @ 267c)
  0.00     12.52     0.00                             Solve1 (solve.c:35 @ 2684)
  0.00     12.52     0.00                             Solve1 (solve.c:33 @ 2688)
  0.00     12.52     0.00                             Solve1 (solve.c:35 @ 2698)
  0.00     12.52     0.00                             Solve1 (solve.c:40 @ 26b8)
  0.00     12.52     0.00                             Solve1 (solve.c:43 @ 26d4)
  0.00     12.52     0.00                             Solve1 (solve.c:45 @ 26dc)
  0.00     12.52     0.00                             Solve1 (solve.c:46 @ 26f4)
  0.00     12.52     0.00                             Solve1 (solve.c:25 @ 26fc)
  0.00     12.52     0.00                             Solve1 (solve.c:50 @ 2710)
  0.00     12.52     0.00                             Solve1 (solve.c:40 @ 2724)
  0.00     12.52     0.00                             Solve1 (solve.c:46 @ 2730)
  0.00     12.52     0.00                             Solve1 (solve.c:43 @ 273c)
  0.00     12.52     0.00                             Solve1 (solve.c:42 @ 2748)
  0.00     12.52     0.00                             Solve1 (solve.c:45 @ 2754)
  0.00     12.52     0.00                             Solve1 (solve.c:39 @ 2760)
  0.00     12.52     0.00                             Solve2 (solve.c:70 @ 27b0)
  0.00     12.52     0.00                             Solve2 (solve.c:73 @ 27b8)
  0.00     12.52     0.00                             Solve2 (solve.c:76 @ 27bc)
  0.00     12.52     0.00                             Solve2 (solve.c:80 @ 27d0)
  0.00     12.52     0.00                             Solve2 (solve.c:81 @ 27e8)
  0.00     12.52     0.00                             Solve2 (solve.c:76 @ 27ec)
  0.00     12.52     0.00                             Solve2 (solve.c:81 @ 27f0)
  0.00     12.52     0.00                             Solve2 (solve.c:82 @ 27f4)
  0.00     12.52     0.00                             Solve2 (solve.c:80 @ 27f8)
  0.00     12.52     0.00                             Solve2 (solve.c:82 @ 27fc)
  0.00     12.52     0.00                             Solve2 (solve.c:81 @ 2800)
  0.00     12.52     0.00                             Solve2 (solve.c:82 @ 2804)
  0.00     12.52     0.00                             Solve2 (solve.c:84 @ 2808)
  0.00     12.52     0.00                             Solve2 (solve.c:85 @ 280c)
  0.00     12.52     0.00                             Solve2 (solve.c:86 @ 2810)
  0.00     12.52     0.00                             Solve2 (solve.c:76 @ 2818)
  0.00     12.52     0.00                             Solve2 (solve.c:86 @ 281c)
  0.00     12.52     0.00                             Solve2 (solve.c:76 @ 2820)
  0.00     12.52     0.00                             Solve2 (solve.c:90 @ 2828)
  0.00     12.52     0.00                             Solve2 (solve.c:70 @ 2840)
  0.00     12.52     0.00                             Solve2 (solve.c:71 @ 284c)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:36 @ 2384)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:33 @ 238c)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:34 @ 2398)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:35 @ 23a0)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:40 @ 23a4)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:56 @ 23b4)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:52 @ 23b8)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:48 @ 23bc)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:39 @ 23c0)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:63 @ 23c4)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:40 @ 23c8)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:38 @ 23d0)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:63 @ 23d4)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:27 @ 23d8)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:41 @ 23dc)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:43 @ 23e0)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:55 @ 23f4)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:55 @ 246c)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:56 @ 2480)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:62 @ 2498)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:63 @ 249c)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:43 @ 24ac)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:75 @ 24bc)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:40 @ 24c0)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:73 @ 24c4)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:40 @ 24c8)
  0.00     12.52     0.00                             UpdateNeighbourlist (neighbourlist.c:75 @ 24cc)
